Name,Industry,Type,Phone,Website,BillingCity,BillingCountry,NumberOfEmployees,AnnualRevenue,Description,ParentId,id,Engagement_Model__c,Primary_Offering__c,Region__c,Customer_Segment__c,SaaS_Tier__c,Services_Line__c,Parent_Relationship_Type__c
"Mccarty, Lang and Hicks Holdings",Telecommunications,Customer,5178214573,https://www.dunlap.biz/,New Melindahaven,Vietnam,13379,1938643450,APAC parent account; services-first relationship.,,109,Services-first Parent,Services,APAC,Enterprise,Team,Cloud Migration,Parent
"Branch, Mooney and Hicks Holdings",Finance,Customer,(371)565-4751,http://peters.info/,Gloverview,Indonesia,2645,2064602823,APAC parent account; services-first relationship.,,110,Services-first Parent,Services,APAC,SME,Team,End-to-End Data Platform,Parent
"Harmon, Drake and Jefferson Holdings",Retail,Customer,286-880-3498,http://www.mendoza.org/,New Zoebury,Malaysia,6998,145782355,APAC parent account; services-first relationship.,,111,Services-first Parent,Services,APAC,Enterprise,Team,Cloud Migration,Parent
"Schwartz, Robbins and Massey Holdings",Finance,Customer,516.800.1144x977,https://www.barry.com/,Sosafurt,Indonesia,23590,1359926876,APAC parent account; services-first relationship.,,112,Services-first Parent,Services,APAC,Enterprise,Business,Cloud Migration,Parent
Sparks and Sons Digital,Telecommunications,Customer,+1-819-804-7012,http://www.stokes.biz/,South Adriennestad,Malaysia,11886,896530216,APAC parent account; SaaS-first relationship.,,113,SaaS-first Parent,SaaS,APAC,Enterprise,Business,None,Parent
"Jefferson, Fleming and Mercado Digital",Telecommunications,Customer,965-542-8603x2211,http://www.peck.com/,Reedchester,Singapore,2153,549825318,APAC parent account; SaaS-first relationship.,,114,SaaS-first Parent,SaaS,APAC,SME,Enterprise,None,Parent
Banks PLC Digital,Telecommunications,Customer,+1-531-290-3140x2365,http://holland-stuart.com/,East Geoffrey,Vietnam,11239,467388338,APAC parent account; SaaS-first relationship.,,115,SaaS-first Parent,SaaS,APAC,Enterprise,Business,Managed Data Platform,Parent
Kline PLC Digital,Retail,Customer,+1-877-627-7136,http://www.wall-callahan.com/,Oconnorport,Vietnam,2380,887028902,APAC parent account; SaaS-first relationship.,,116,SaaS-first Parent,SaaS,APAC,SME,Team,Managed Data Platform,Parent
Huffman and Sons Digital,Technology,Customer,(640)421-7379x1494,http://www.velez.com/,West Mitchellland,Malaysia,8867,470340470,APAC parent account; SaaS-first relationship.,,117,SaaS-first Parent,SaaS,APAC,Enterprise,Team,None,Parent
Mercer-Harrington Digital,Telecommunications,Customer,829.512.9594,https://branch.biz/,Wilkinsonborough,Malaysia,2737,83723085,APAC parent account; SaaS-first relationship.,,118,SaaS-first Parent,SaaS,APAC,SME,Business,Managed Data Platform,Parent
Meadows-Small Digital,Telecommunications,Customer,001-979-330-5929,https://www.farrell.biz/,New Herbert,Singapore,11566,379046881,APAC parent account; SaaS-first relationship.,,119,SaaS-first Parent,SaaS,APAC,Enterprise,Business,Managed Data Platform,Parent
"Carr, Lloyd and Curtis Digital",Retail,Customer,978.444.3640x91204,http://farmer-zimmerman.com/,North Jose,Vietnam,11180,16428329,APAC parent account; SaaS-first relationship.,,120,SaaS-first Parent,SaaS,APAC,Enterprise,Enterprise,None,Parent
Robbins-Bruce Digital,Retail,Customer,(841)379-8726,http://www.gates-barron.com/,Lake Carolyn,Indonesia,1873,578541249,APAC parent account; SaaS-first relationship.,,121,SaaS-first Parent,SaaS,APAC,SME,Team,None,Parent
"Riggs, Cuevas and Russell Digital",Technology,Customer,665.821.4130x2850,http://www.petersen.biz/,South Mercedesport,Singapore,980,193015106,APAC parent account; SaaS-first relationship.,,122,SaaS-first Parent,SaaS,APAC,SME,Business,None,Parent
Mora Ltd Digital,Retail,Customer,855.609.8530,http://www.petty.com/,New Garyshire,Indonesia,7227,317478766,APAC parent account; SaaS-first relationship.,,123,SaaS-first Parent,SaaS,APAC,Enterprise,Team,Managed Data Platform,Parent
Gordon Group Digital,Telecommunications,Customer,821.204.0385x550,http://marsh.com/,Baileyland,Singapore,6437,732670338,APAC parent account; SaaS-first relationship.,,124,SaaS-first Parent,SaaS,APAC,Enterprise,Team,None,Parent
"Duarte, Powers and Davila Subsidiary",Transportation,Customer,+1-443-498-1535x20759,https://www.nunez-hobbs.com/,West Ruben,Indonesia,1273,175860251,Subsidiary account; services expansion from SaaS-first parent.,120,125,Subsidiary - Services Expansion,Services,APAC,SME,Free,Cloud Migration,Subsidiary
Mills-Yates Subsidiary,Healthcare,Customer,9894248409,https://www.payne.com/,Merritttown,Vietnam,2771,74674677,Subsidiary account; services expansion from SaaS-first parent.,114,126,Subsidiary - Services Expansion,Services,APAC,SME,Free,End-to-End Data Platform,Subsidiary
"Raymond, Shaw and Gonzales Subsidiary",Retail,Customer,952.233.3288x13921,http://cook-cooper.com/,East Neil,Philippines,1739,98835340,Subsidiary account; services expansion from SaaS-first parent.,119,127,Subsidiary - Services Expansion,Services,APAC,SME,None,Data Strategy & Consultancy,Subsidiary
Kemp-Bender Subsidiary,Transportation,Customer,362-919-2117,https://www.andrade.com/,Choifurt,Thailand,3492,177670682,Subsidiary account; services expansion from SaaS-first parent.,113,128,Subsidiary - Services Expansion,Services,APAC,SME,None,End-to-End Data Platform,Subsidiary
Hogan-Mcmahon Subsidiary,Healthcare,Customer,+1-420-349-9343,https://www.kane.net/,New Mikaylaport,Thailand,862,143385018,Subsidiary account; services expansion from SaaS-first parent.,117,129,Subsidiary - Services Expansion,Services,APAC,SME,Team,End-to-End Data Platform,Subsidiary
Kane-Osborne Subsidiary,Manufacturing,Customer,9316958565,http://www.weiss.com/,East Tricia,Indonesia,198,144709797,Subsidiary account; services expansion from SaaS-first parent.,118,130,Subsidiary - Services Expansion,Services,APAC,SME,Free,Data Strategy & Consultancy,Subsidiary
Hendricks-Cisneros Subsidiary,Manufacturing,Customer,+1-940-717-6126,http://dickson-gray.com/,New Makayla,Indonesia,100,123433918,Subsidiary account; services expansion from SaaS-first parent.,113,131,Subsidiary - Services Expansion,Services,APAC,Developer Team,Free,Data Strategy & Consultancy,Subsidiary
Singleton-Duncan Subsidiary,Transportation,Customer,821-232-2734,http://www.mullen.info/,Port Ana,Philippines,2123,82060382,Subsidiary account; services expansion from SaaS-first parent.,123,132,Subsidiary - Services Expansion,Services,APAC,SME,Team,End-to-End Data Platform,Subsidiary
Castro-Velazquez Subsidiary,Manufacturing,Customer,451.850.4374,http://www.kramer-grimes.net/,Douglasbury,Indonesia,1670,111410745,Subsidiary account; services expansion from SaaS-first parent.,124,133,Subsidiary - Services Expansion,Services,APAC,SME,Team,End-to-End Data Platform,Subsidiary
Landry Ltd Subsidiary,Healthcare,Customer,(440)220-3123,http://www.knight-fletcher.net/,Gregfurt,Vietnam,2926,12501941,Subsidiary account; services expansion from SaaS-first parent.,117,134,Subsidiary - Services Expansion,Services,APAC,SME,None,Managed Data Platform,Subsidiary
Holland LLC Subsidiary,Manufacturing,Customer,(651)908-8458,http://conrad-ballard.org/,South Williamborough,Thailand,3457,29253391,Subsidiary account; services expansion from SaaS-first parent.,113,135,Subsidiary - Services Expansion,Services,APAC,SME,Team,Data Strategy & Consultancy,Subsidiary
"Shelton, Friedman and Ross Subsidiary",Retail,Customer,383-368-6316,https://ruiz.com/,South Isabel,Thailand,2662,175081784,Subsidiary account; services expansion from SaaS-first parent.,120,136,Subsidiary - Services Expansion,Services,APAC,SME,Team,Managed Data Platform,Subsidiary
"Baxter, Wiggins and Barnett Subsidiary",Healthcare,Customer,267.906.8437x296,http://schmidt-preston.net/,Osbornmouth,Vietnam,2572,127579759,Subsidiary account; services expansion from SaaS-first parent.,118,137,Subsidiary - Services Expansion,Services,APAC,SME,None,Cloud Migration,Subsidiary
"Bauer, Kidd and Freeman Subsidiary",Transportation,Customer,276.932.9989x270,https://roberson.info/,West Christopherberg,Philippines,2313,105372311,Subsidiary account; services expansion from SaaS-first parent.,121,138,Subsidiary - Services Expansion,Services,APAC,SME,None,Managed Data Platform,Subsidiary
"Francis, Patrick and Barrera Subsidiary",Manufacturing,Customer,+1-546-655-3829,http://www.frost.org/,Lucasfurt,Philippines,1430,177292879,Subsidiary account; services expansion from SaaS-first parent.,119,139,Subsidiary - Services Expansion,Services,APAC,SME,Team,Data Strategy & Consultancy,Subsidiary
Russo-Boone Subsidiary,Transportation,Customer,569.237.2398,http://stanton.com/,Hoodbury,Malaysia,408,39219237,Subsidiary account; services expansion from SaaS-first parent.,116,140,Subsidiary - Services Expansion,Services,APAC,SME,Team,Managed Data Platform,Subsidiary
Church-Heath Subsidiary,Retail,Customer,374.969.7798,https://www.wiley.biz/,Matamouth,Thailand,3308,26913435,Subsidiary account; services expansion from SaaS-first parent.,120,141,Subsidiary - Services Expansion,Services,APAC,SME,Team,Cloud Migration,Subsidiary
Franco LLC Subsidiary,Manufacturing,Customer,+1-409-805-6434,http://hickman.com/,East Henrystad,Vietnam,1293,114215855,Subsidiary account; services expansion from SaaS-first parent.,120,142,Subsidiary - Services Expansion,Services,APAC,SME,Team,End-to-End Data Platform,Subsidiary
"Bennett, Hutchinson and Hendrix Subsidiary",Healthcare,Customer,215.835.1235,http://www.escobar-woodard.com/,East Clifford,Indonesia,2123,95991146,Subsidiary account; services expansion from SaaS-first parent.,115,143,Subsidiary - Services Expansion,Services,APAC,SME,Free,End-to-End Data Platform,Subsidiary
Mccullough-Bentley Subsidiary,Transportation,Customer,700.497.1294x7280,http://www.larson-galvan.info/,West Whitney,Philippines,2028,61507186,Subsidiary account; services expansion from SaaS-first parent.,121,144,Subsidiary - Services Expansion,Services,APAC,SME,Free,Data Strategy & Consultancy,Subsidiary
"Thomas, Powell and Mccarty Subsidiary",Manufacturing,Customer,001-227-449-6229x1863,http://hardy.info/,Shepherdmouth,Thailand,1087,154257518,Subsidiary account; services expansion from SaaS-first parent.,115,145,Subsidiary - Services Expansion,Services,APAC,SME,None,Data Strategy & Consultancy,Subsidiary
"Singh, Logan and Thomas Subsidiary",Manufacturing,Customer,+1-503-339-3969x375,http://richmond.net/,Aguirreborough,Thailand,1765,3660725,Subsidiary account; services expansion from SaaS-first parent.,114,146,Subsidiary - Services Expansion,Services,APAC,SME,None,End-to-End Data Platform,Subsidiary
"Sanchez, Mcbride and Maxwell Subsidiary",Retail,Customer,(441)341-9624x5459,http://curry-kramer.com/,East Leroy,Thailand,3153,80427304,Subsidiary account; services expansion from SaaS-first parent.,119,147,Subsidiary - Services Expansion,Services,APAC,SME,Free,Data Strategy & Consultancy,Subsidiary
Wilson Ltd Subsidiary,Healthcare,Customer,(411)433-4353x6347,https://www.sanford-norton.com/,East Annashire,Vietnam,1096,69961733,Subsidiary account; services expansion from SaaS-first parent.,118,148,Subsidiary - Services Expansion,Services,APAC,SME,None,Cloud Migration,Subsidiary
Nash-Huffman Subsidiary,Finance,Customer,001-529-389-9260x2282,https://www.hudson.com/,New Dominic,Malaysia,2021,1492533,Subsidiary account; SaaS expansion from services-first parent.,106,149,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Team,Managed Data Platform,Subsidiary
Hebert Ltd Subsidiary,Retail,Customer,6583983533,https://shah.com/,Port Dawn,Malaysia,605,39224386,Subsidiary account; SaaS expansion from services-first parent.,103,150,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Business,Managed Data Platform,Subsidiary
Clements and Sons Subsidiary,Technology,Customer,276-969-3059,https://www.deleon.com/,Jonesmouth,Malaysia,1420,126274405,Subsidiary account; SaaS expansion from services-first parent.,105,151,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Business,None,Subsidiary
Gates and Sons Subsidiary,Technology,Customer,(725)434-1007x14904,http://www.rice-williams.com/,North Laurieview,Indonesia,560,90346619,Subsidiary account; SaaS expansion from services-first parent.,101,152,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Business,None,Subsidiary
"Waters, Drake and Avila Subsidiary",Finance,Customer,890-535-2993,http://www.spears.org/,Port Tamaraside,Indonesia,149,91200186,Subsidiary account; SaaS expansion from services-first parent.,112,153,Subsidiary - SaaS Expansion,SaaS,APAC,Developer Team,Enterprise,None,Subsidiary
Garrett-Mendez Subsidiary,Retail,Customer,452-403-5433,https://clarke-dudley.com/,Lynnville,Vietnam,1799,41069994,Subsidiary account; SaaS expansion from services-first parent.,108,154,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Team,Managed Data Platform,Subsidiary
"Shaw, Gaines and Larsen Subsidiary",Finance,Customer,664.566.0714,http://barrera.com/,Luismouth,Indonesia,397,155471771,Subsidiary account; SaaS expansion from services-first parent.,103,155,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Team,None,Subsidiary
Beltran-Terrell Subsidiary,Retail,Customer,225-834-7003x4571,http://www.richardson-olson.com/,Bryanview,Indonesia,785,98603235,Subsidiary account; SaaS expansion from services-first parent.,107,156,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Enterprise,None,Subsidiary
Bentley and Sons Subsidiary,Healthcare,Customer,8782294868,http://www.blanchard-huff.org/,Arianaborough,Philippines,1933,79901741,Subsidiary account; SaaS expansion from services-first parent.,101,157,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Team,Managed Data Platform,Subsidiary
"Bolton, Bartlett and Hayden Subsidiary",Retail,Customer,+1-541-729-7097x247,http://vega-haney.com/,Lake Edgar,Thailand,2381,15002885,Subsidiary account; SaaS expansion from services-first parent.,111,158,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Team,Managed Data Platform,Subsidiary
"Barber, Hill and Hickman Subsidiary",Finance,Customer,+1-779-349-0660x40429,https://www.gallagher.com/,Lake Haleyfurt,Malaysia,617,14025190,Subsidiary account; SaaS expansion from services-first parent.,105,159,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Enterprise,None,Subsidiary
"Guerrero, Wallace and Whitney Subsidiary",Technology,Customer,327-209-5074x7603,http://craig.biz/,Jacquelineburgh,Philippines,2084,95604919,Subsidiary account; SaaS expansion from services-first parent.,105,160,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Team,None,Subsidiary
Bishop-Drake Subsidiary,Healthcare,Customer,203.352.3525,http://www.roman-carney.com/,Ivanview,Indonesia,2267,13515469,Subsidiary account; SaaS expansion from services-first parent.,101,161,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Enterprise,None,Subsidiary
"Ali, Conner and Newton Subsidiary",Retail,Customer,329.423.1556x1808,http://www.jacobson.com/,South Kayleeshire,Vietnam,1573,143722521,Subsidiary account; SaaS expansion from services-first parent.,112,162,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Enterprise,None,Subsidiary
"Durham, Shields and George Subsidiary",Technology,Customer,586-327-7517x830,https://www.fitzgerald-key.com/,West Judith,Indonesia,1988,85249630,Subsidiary account; SaaS expansion from services-first parent.,109,163,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Team,None,Subsidiary
"English, Davis and Perez Subsidiary",Healthcare,Customer,(252)429-0788x9911,https://www.velasquez.com/,New Joanview,Thailand,1486,71327251,Subsidiary account; SaaS expansion from services-first parent.,103,164,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Enterprise,None,Subsidiary
"Hutchinson, Baker and Lucero Subsidiary",Technology,Customer,+1-778-758-5444x3196,http://ramsey.com/,Isaiahtown,Philippines,2284,94287120,Subsidiary account; SaaS expansion from services-first parent.,104,165,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Enterprise,None,Subsidiary
Berg LLC Subsidiary,Finance,Customer,417-288-3347x5172,http://www.kaiser.info/,Eddieland,Vietnam,1106,8884318,Subsidiary account; SaaS expansion from services-first parent.,108,166,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Business,Managed Data Platform,Subsidiary
Macdonald Group Subsidiary,Finance,Customer,+1-751-319-4971x188,http://stephens.com/,Adrianachester,Thailand,731,104473628,Subsidiary account; SaaS expansion from services-first parent.,109,167,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Enterprise,Managed Data Platform,Subsidiary
Gamble LLC Subsidiary,Healthcare,Customer,682-460-5501x3501,https://www.morris-stone.net/,North Sonya,Vietnam,788,119944356,Subsidiary account; SaaS expansion from services-first parent.,103,168,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Enterprise,None,Subsidiary
Palmer-Glass Subsidiary,Finance,Customer,(779)981-5948x5122,http://torres-davila.com/,Dominguezshire,Philippines,356,69878456,Subsidiary account; SaaS expansion from services-first parent.,107,169,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Team,None,Subsidiary
Oneill-Wilson Subsidiary,Technology,Customer,+1-226-503-9228x3213,https://olson.com/,Christyport,Vietnam,1937,87832619,Subsidiary account; SaaS expansion from services-first parent.,107,170,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Business,None,Subsidiary
Hunt-Chung Subsidiary,Technology,Customer,513-658-6406,https://sweeney.com/,Weissville,Thailand,437,110135120,Subsidiary account; SaaS expansion from services-first parent.,101,171,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Team,None,Subsidiary
Huang-Meza Subsidiary,Technology,Customer,378.862.7294,https://www.burton.com/,Parkertown,Malaysia,2063,18859000,Subsidiary account; SaaS expansion from services-first parent.,109,172,Subsidiary - SaaS Expansion,SaaS,APAC,SME,Business,Managed Data Platform,Subsidiary
