Name,StageName,Amount,CloseDate,LeadSource,Description,AccountId,id,Offering_Type__c,Sales_Motion__c,Cross_Sell_From__c,Contract_Model__c,Expected_ARR__c,Implementation_Months__c,Data_Volume_Tier__c,Usage_Pricing_Model__c
Seize B2B Applications - SaaS Business Case,Value Proposition,137991,2026-05-29,Partner Referral,Value articulation for APAC SaaS deployment.,11,127,SaaS New Logo,Inbound,None,Subscription,102000.25,3,Medium,Hybrid Usage
Empower Customized E-Commerce - SaaS Business Case,Value Proposition,249780,2026-06-04,Partner Referral,Value articulation for APAC SaaS deployment.,14,128,SaaS New Logo,Partner-led,None,Subscription,223898.29,1,Medium,Metadata Scale
Repurpose Frictionless Applications - SaaS Business Case,Value Proposition,190042,2026-06-17,Partner Referral,Value articulation for APAC SaaS deployment.,10,129,SaaS New Logo,Partner-led,None,Subscription,141614.48,2,Medium,Hybrid Usage
Evolve Front-End Platforms - SaaS Business Case,Value Proposition,203321,2026-04-07,Partner Referral,Value articulation for APAC SaaS deployment.,23,130,SaaS New Logo,Partner-led,None,Subscription,214228.30,2,Medium,Hybrid Usage
Innovate Turn-Key Web-Readiness - SaaS Business Case,Value Proposition,115424,2026-06-26,Web,Value articulation for APAC SaaS deployment.,13,131,SaaS New Logo,Outbound,None,Subscription,119525.83,3,Medium,Hybrid Usage
Revolutionize Cross-Platform Models - SaaS Business Case,Value Proposition,132083,2026-06-30,Other,Value articulation for APAC SaaS deployment.,11,132,SaaS New Logo,Partner-led,None,Subscription,134084.04,2,Medium,Metadata Scale
Iterate Cross-Platform Infrastructures - SaaS Business Case,Value Proposition,149836,2026-04-13,Other,Value articulation for APAC SaaS deployment.,32,133,SaaS New Logo,Inbound,None,Subscription,133034.10,4,Medium,Hybrid Usage
Exploit Real-Time Mindshare - SaaS Business Case,Value Proposition,102643,2026-04-22,Partner Referral,Value articulation for APAC SaaS deployment.,28,134,SaaS New Logo,Outbound,None,Subscription,106379.59,1,Medium,Metadata Scale
Repurpose B2B Web Services - SaaS Business Case,Value Proposition,133532,2026-03-20,Partner Referral,Value articulation for APAC SaaS deployment.,10,135,SaaS New Logo,Partner-led,None,Subscription,128371.84,1,Medium,Hybrid Usage
Monetize Plug-And-Play E-Commerce - SaaS Business Case,Value Proposition,256299,2026-04-12,Other,Value articulation for APAC SaaS deployment.,34,136,SaaS New Logo,Partner-led,None,Subscription,256549.50,1,High,Metadata Scale
Revolutionize Global E-Commerce - SaaS Business Case,Value Proposition,143692,2026-03-20,Web,Value articulation for APAC SaaS deployment.,7,137,SaaS New Logo,Outbound,None,Subscription,162093.01,1,Medium,Metadata Scale
Expedite Value-Added Applications - SaaS Business Case,Value Proposition,68440,2026-06-17,Partner Referral,Value articulation for APAC SaaS deployment.,25,138,SaaS New Logo,Partner-led,None,Subscription,54711.87,4,Low,Metadata Scale
Architect Out-Of-The-Box Channels - SaaS Business Case,Value Proposition,129476,2026-06-27,Partner Referral,Value articulation for APAC SaaS deployment.,33,139,SaaS New Logo,Partner-led,None,Subscription,102275.38,1,Medium,Data Volume
Incentivize Rich Content - SaaS Business Case,Value Proposition,38004,2026-06-01,Other,Value articulation for APAC SaaS deployment.,34,140,SaaS New Logo,Partner-led,None,Subscription,30160.16,3,Low,Hybrid Usage
Architect 24/365 Functionalities - SaaS Commercial Proposal,Proposal/Price Quote,217993,2026-04-14,Partner Referral,Proposal for Team/Business tier with usage add-ons.,2,141,SaaS New Logo,Inbound,None,Subscription,243602.47,4,Medium,Hybrid Usage
Architect Collaborative Channels - SaaS Commercial Proposal,Proposal/Price Quote,180074,2026-04-13,Web,Proposal for Team/Business tier with usage add-ons.,19,142,SaaS New Logo,Partner-led,None,Subscription,156086.36,3,Medium,Metadata Scale
Syndicate Robust Infrastructures - SaaS Commercial Proposal,Proposal/Price Quote,211120,2026-04-09,Partner Referral,Proposal for Team/Business tier with usage add-ons.,29,143,SaaS New Logo,Outbound,None,Subscription,230247.16,4,Medium,Metadata Scale
Drive Dynamic Niches - SaaS Commercial Proposal,Proposal/Price Quote,66026,2026-04-30,Partner Referral,Proposal for Team/Business tier with usage add-ons.,1,144,SaaS New Logo,Inbound,None,Subscription,47744.04,4,Low,Pipeline Count
Facilitate Impactful Experiences - SaaS Commercial Proposal,Proposal/Price Quote,164668,2026-04-27,Phone Inquiry,Proposal for Team/Business tier with usage add-ons.,36,145,SaaS New Logo,Inbound,None,Subscription,125418.82,1,Medium,Pipeline Count
Cultivate Compelling Initiatives - SaaS Commercial Proposal,Proposal/Price Quote,47888,2026-04-02,Partner Referral,Proposal for Team/Business tier with usage add-ons.,19,146,SaaS New Logo,Partner-led,None,Subscription,48031.18,3,Low,Hybrid Usage
Harness Front-End Functionalities - SaaS Commercial Proposal,Proposal/Price Quote,114448,2026-05-15,Phone Inquiry,Proposal for Team/Business tier with usage add-ons.,17,147,SaaS New Logo,Partner-led,None,Subscription,128562.01,1,Medium,Hybrid Usage
Whiteboard Rich Initiatives - SaaS Commercial Proposal,Proposal/Price Quote,125787,2026-05-04,Partner Referral,Proposal for Team/Business tier with usage add-ons.,25,148,SaaS New Logo,Inbound,None,Subscription,102536.58,2,Medium,Data Volume
Orchestrate Global Users - SaaS Commercial Proposal,Proposal/Price Quote,279482,2026-05-30,Web,Proposal for Team/Business tier with usage add-ons.,24,149,SaaS New Logo,Inbound,None,Subscription,290477.10,2,High,Metadata Scale
Deliver Frictionless Paradigms - SaaS Commercial Proposal,Proposal/Price Quote,319676,2026-05-16,Phone Inquiry,Proposal for Team/Business tier with usage add-ons.,5,150,SaaS New Logo,Outbound,None,Subscription,295917.77,1,High,Pipeline Count
Iterate Granular Deliverables - SaaS Commercial Proposal,Proposal/Price Quote,176822,2026-04-25,Web,Proposal for Team/Business tier with usage add-ons.,28,151,SaaS New Logo,Inbound,None,Subscription,191582.55,1,Medium,Hybrid Usage
Evolve Plug-And-Play Technologies - SaaS Commercial Proposal,Proposal/Price Quote,78211,2026-05-16,Phone Inquiry,Proposal for Team/Business tier with usage add-ons.,26,152,SaaS New Logo,Partner-led,None,Subscription,67269.13,1,Low,Data Volume
Deliver Front-End E-Markets - SaaS Commercial Proposal,Proposal/Price Quote,89912,2026-05-14,Phone Inquiry,Proposal for Team/Business tier with usage add-ons.,26,153,SaaS New Logo,Outbound,None,Subscription,98576.47,4,Low,Pipeline Count
Maximize End-To-End Niches - SaaS Commercial Proposal,Proposal/Price Quote,145829,2026-05-13,Web,Proposal for Team/Business tier with usage add-ons.,25,154,SaaS New Logo,Outbound,None,Subscription,116027.05,4,Medium,Pipeline Count
Utilize Out-Of-The-Box Mindshare - SaaS Commercial Proposal,Proposal/Price Quote,43060,2026-05-04,Web,Proposal for Team/Business tier with usage add-ons.,16,155,SaaS New Logo,Outbound,None,Subscription,34015.24,4,Low,Pipeline Count
Optimize Strategic Initiatives - SaaS Commercial Proposal,Proposal/Price Quote,32292,2026-05-24,Partner Referral,Proposal for Team/Business tier with usage add-ons.,12,156,SaaS New Logo,Inbound,None,Subscription,27902.18,2,Low,Pipeline Count
Benchmark 24/7 Relationships - SaaS Commercial Proposal,Proposal/Price Quote,287975,2026-04-16,Partner Referral,Proposal for Team/Business tier with usage add-ons.,17,157,SaaS New Logo,Inbound,None,Subscription,250373.93,2,High,Hybrid Usage
Revolutionize Granular Systems - SaaS Commercial Proposal,Proposal/Price Quote,311779,2026-04-03,Phone Inquiry,Proposal for Team/Business tier with usage add-ons.,12,158,SaaS New Logo,Inbound,None,Subscription,239296.51,2,High,Pipeline Count
Maximize Killer Info-Mediaries - SaaS Commercial Proposal,Proposal/Price Quote,244782,2026-04-21,Partner Referral,Proposal for Team/Business tier with usage add-ons.,34,159,SaaS New Logo,Inbound,None,Subscription,219408.91,3,Medium,Pipeline Count
Orchestrate Extensible Content - SaaS Commercial Proposal,Proposal/Price Quote,114811,2026-05-01,Partner Referral,Proposal for Team/Business tier with usage add-ons.,3,160,SaaS New Logo,Inbound,None,Subscription,95868.20,2,Medium,Pipeline Count
Synergize Strategic Info-Mediaries - SaaS Negotiation,Negotiation/Review,350478,2026-04-13,Partner Referral,Active commercial/legal negotiation for SaaS rollout.,24,161,SaaS New Logo,Outbound,None,Subscription,399146.59,1,High,Pipeline Count
Aggregate End-To-End Synergies - SaaS Negotiation,Negotiation/Review,53979,2026-05-02,Web,Active commercial/legal negotiation for SaaS rollout.,33,162,SaaS New Logo,Outbound,None,Subscription,44582.40,1,Low,Pipeline Count
Brand Scalable Supply-Chains - SaaS Negotiation,Negotiation/Review,200917,2026-04-28,Other,Active commercial/legal negotiation for SaaS rollout.,32,163,SaaS New Logo,Outbound,None,Subscription,159675.08,2,Medium,Hybrid Usage
Synergize Mission-Critical E-Markets - SaaS Negotiation,Negotiation/Review,264356,2026-05-14,Web,Active commercial/legal negotiation for SaaS rollout.,31,164,SaaS New Logo,Outbound,None,Subscription,255119.12,3,High,Pipeline Count
Strategize Rich E-Tailers - SaaS Negotiation,Negotiation/Review,257345,2026-04-05,Web,Active commercial/legal negotiation for SaaS rollout.,17,165,SaaS New Logo,Partner-led,None,Subscription,205666.00,2,High,Pipeline Count
Redefine Frictionless Users - SaaS Negotiation,Negotiation/Review,138482,2026-04-24,Partner Referral,Active commercial/legal negotiation for SaaS rollout.,6,166,SaaS New Logo,Partner-led,None,Subscription,102234.45,4,Medium,Metadata Scale
Cultivate Sticky Deliverables - SaaS Negotiation,Negotiation/Review,53018,2026-04-30,Partner Referral,Active commercial/legal negotiation for SaaS rollout.,32,167,SaaS New Logo,Partner-led,None,Subscription,49752.32,4,Low,Metadata Scale
Unleash Mission-Critical Architectures - SaaS Negotiation,Negotiation/Review,242184,2026-04-24,Other,Active commercial/legal negotiation for SaaS rollout.,32,168,SaaS New Logo,Partner-led,None,Subscription,207972.06,4,Medium,Data Volume
Incentivize Enterprise Channels - SaaS Negotiation,Negotiation/Review,185563,2026-04-15,Other,Active commercial/legal negotiation for SaaS rollout.,14,169,SaaS New Logo,Partner-led,None,Subscription,167837.99,2,Medium,Data Volume
Grow Innovative Web Services - SaaS Negotiation,Negotiation/Review,356102,2026-05-14,Other,Active commercial/legal negotiation for SaaS rollout.,18,170,SaaS New Logo,Outbound,None,Subscription,369776.13,2,High,Metadata Scale
Seize Magnetic Methodologies - SaaS Negotiation,Negotiation/Review,200672,2026-04-22,Partner Referral,Active commercial/legal negotiation for SaaS rollout.,4,171,SaaS New Logo,Partner-led,None,Subscription,190919.49,1,Medium,Metadata Scale
Architect User-Centric Vortals - SaaS Negotiation,Negotiation/Review,63792,2026-05-09,Other,Active commercial/legal negotiation for SaaS rollout.,2,172,SaaS New Logo,Inbound,None,Subscription,69445.92,3,Low,Data Volume
Engineer Revolutionary Partnerships - SaaS Negotiation,Negotiation/Review,36169,2026-05-17,Other,Active commercial/legal negotiation for SaaS rollout.,36,173,SaaS New Logo,Partner-led,None,Subscription,33026.31,2,Low,Pipeline Count
Benchmark Next-Generation Networks - SaaS Negotiation,Negotiation/Review,56972,2026-04-12,Partner Referral,Active commercial/legal negotiation for SaaS rollout.,19,174,SaaS New Logo,Inbound,None,Subscription,61542.95,1,Low,Hybrid Usage
Iterate Out-Of-The-Box Metrics - SaaS Negotiation,Negotiation/Review,150077,2026-04-09,Partner Referral,Active commercial/legal negotiation for SaaS rollout.,36,175,SaaS New Logo,Outbound,None,Subscription,159613.58,2,Medium,Data Volume
Scale Ubiquitous Bandwidth - SaaS Closed Won,Closed Won,415232,2025-05-23,Web,Won SaaS customer; now in onboarding or expansion.,16,176,SaaS New Logo,Outbound,None,Subscription,442419.12,4,High,Data Volume
Engineer Customized Partnerships - SaaS Closed Won,Closed Won,66384,2025-08-11,Phone Inquiry,Won SaaS customer; now in onboarding or expansion.,1,177,SaaS New Logo,Partner-led,None,Subscription,53018.96,2,Low,Pipeline Count
Architect Intuitive Niches - SaaS Closed Won,Closed Won,257608,2024-11-03,Web,Won SaaS customer; now in onboarding or expansion.,2,178,SaaS New Logo,Partner-led,None,Subscription,271010.24,2,High,Hybrid Usage
Morph Bricks-And-Clicks Models - SaaS Closed Won,Closed Won,303444,2025-01-09,Web,Won SaaS customer; now in onboarding or expansion.,28,179,SaaS New Logo,Outbound,None,Subscription,244424.33,4,High,Data Volume
Deploy 24/7 Methodologies - SaaS Closed Won,Closed Won,127764,2025-03-11,Web,Won SaaS customer; now in onboarding or expansion.,34,180,SaaS New Logo,Inbound,None,Subscription,122872.32,2,Medium,Pipeline Count
Architect Dot-Com Supply-Chains - SaaS Closed Won,Closed Won,253024,2024-11-19,Web,Won SaaS customer; now in onboarding or expansion.,34,181,SaaS New Logo,Inbound,None,Subscription,250670.62,2,High,Pipeline Count
Utilize Intuitive Experiences - SaaS Closed Won,Closed Won,334808,2024-11-16,Partner Referral,Won SaaS customer; now in onboarding or expansion.,10,182,SaaS New Logo,Inbound,None,Subscription,384588.68,2,High,Pipeline Count
Disintermediate Wireless E-Business - SaaS Closed Won,Closed Won,151912,2025-12-09,Partner Referral,Won SaaS customer; now in onboarding or expansion.,24,183,SaaS New Logo,Inbound,None,Subscription,155491.17,4,Medium,Pipeline Count
Transition Leading-Edge Paradigms - SaaS Closed Won,Closed Won,116905,2025-06-12,Phone Inquiry,Won SaaS customer; now in onboarding or expansion.,11,184,SaaS New Logo,Partner-led,None,Subscription,130269.05,3,Medium,Pipeline Count
Incubate Back-End Communities - SaaS Closed Won,Closed Won,410874,2025-11-08,Phone Inquiry,Won SaaS customer; now in onboarding or expansion.,2,185,SaaS New Logo,Partner-led,None,Subscription,351576.29,1,High,Data Volume
Reinvent Seamless Systems - SaaS Closed Won,Closed Won,393671,2024-09-11,Partner Referral,Won SaaS customer; now in onboarding or expansion.,2,186,SaaS New Logo,Partner-led,None,Subscription,450700.50,3,High,Metadata Scale
Iterate Revolutionary Methodologies - SaaS Closed Won,Closed Won,331020,2025-09-19,Web,Won SaaS customer; now in onboarding or expansion.,29,187,SaaS New Logo,Outbound,None,Subscription,246430.89,2,High,Data Volume
Mesh Best-Of-Breed Info-Mediaries - SaaS Closed Won,Closed Won,287872,2024-04-23,Partner Referral,Won SaaS customer; now in onboarding or expansion.,35,188,SaaS New Logo,Partner-led,None,Subscription,297886.76,4,High,Hybrid Usage
Reinvent Cutting-Edge Paradigms - SaaS Closed Won,Closed Won,150997,2024-06-09,Web,Won SaaS customer; now in onboarding or expansion.,26,189,SaaS New Logo,Inbound,None,Subscription,130157.77,4,Medium,Pipeline Count
Re-Contextualize Killer Niches - SaaS Closed Won,Closed Won,168624,2024-06-28,Partner Referral,Won SaaS customer; now in onboarding or expansion.,11,190,SaaS New Logo,Inbound,None,Subscription,174970.91,3,Medium,Data Volume
Facilitate Collaborative Markets - SaaS Closed Won,Closed Won,149786,2026-03-23,Phone Inquiry,Won SaaS customer; now in onboarding or expansion.,21,191,SaaS New Logo,Outbound,None,Subscription,145896.06,3,Medium,Data Volume
Exploit Proactive Relationships - SaaS Closed Won,Closed Won,192207,2024-05-25,Partner Referral,Won SaaS customer; now in onboarding or expansion.,32,192,SaaS New Logo,Outbound,None,Subscription,220540.20,4,Medium,Hybrid Usage
Streamline Transparent Communities - SaaS Closed Won,Closed Won,226803,2024-09-02,Phone Inquiry,Won SaaS customer; now in onboarding or expansion.,25,193,SaaS New Logo,Inbound,None,Subscription,189885.87,2,Medium,Pipeline Count
Synergize Magnetic Web-Readiness - SaaS Closed Won,Closed Won,387959,2026-02-01,Web,Won SaaS customer; now in onboarding or expansion.,29,194,SaaS New Logo,Outbound,None,Subscription,309857.46,1,High,Metadata Scale
Integrate 24/7 Architectures - SaaS Closed Won,Closed Won,305460,2025-01-04,Phone Inquiry,Won SaaS customer; now in onboarding or expansion.,5,195,SaaS New Logo,Inbound,None,Subscription,267938.68,2,High,Hybrid Usage
Seize Synergistic E-Services - SaaS Closed Won,Closed Won,213288,2025-09-02,Web,Won SaaS customer; now in onboarding or expansion.,21,196,SaaS New Logo,Inbound,None,Subscription,150156.71,3,Medium,Metadata Scale
Leverage Viral Convergence - SaaS Closed Won,Closed Won,90341,2024-05-29,Web,Won SaaS customer; now in onboarding or expansion.,2,197,SaaS New Logo,Partner-led,None,Subscription,98142.48,3,Medium,Hybrid Usage
Extend Back-End Markets - SaaS Closed Lost,Closed Lost,224792,2025-05-03,Other,Lost SaaS opportunity due to budget/timing/competition.,31,198,SaaS New Logo,Partner-led,None,Subscription,217753.18,2,Medium,Hybrid Usage
Architect Best-Of-Breed Portals - SaaS Closed Lost,Closed Lost,240003,2024-05-03,Web,Lost SaaS opportunity due to budget/timing/competition.,26,199,SaaS New Logo,Inbound,None,Subscription,274155.70,4,Medium,Data Volume
Deliver Transparent Eyeballs - SaaS Closed Lost,Closed Lost,130127,2025-12-08,Other,Lost SaaS opportunity due to budget/timing/competition.,31,200,SaaS New Logo,Outbound,None,Subscription,124160.76,1,Medium,Data Volume
Drive Real-Time Users - SaaS Closed Lost,Closed Lost,274965,2025-03-24,Purchased List,Lost SaaS opportunity due to budget/timing/competition.,15,201,SaaS New Logo,Outbound,None,Subscription,201642.68,1,High,Data Volume
Target One-To-One Methodologies - SaaS Closed Lost,Closed Lost,255832,2024-06-10,Other,Lost SaaS opportunity due to budget/timing/competition.,28,202,SaaS New Logo,Inbound,None,Subscription,183092.11,1,High,Metadata Scale
Extend One-To-One Channels - SaaS Closed Lost,Closed Lost,217750,2026-02-25,Web,Lost SaaS opportunity due to budget/timing/competition.,4,203,SaaS New Logo,Inbound,None,Subscription,241883.88,1,Medium,Metadata Scale
Revolutionize Extensible Communities - SaaS Closed Lost,Closed Lost,24374,2025-01-24,Purchased List,Lost SaaS opportunity due to budget/timing/competition.,12,204,SaaS New Logo,Inbound,None,Subscription,18187.05,3,Low,Data Volume
Envisioneer Mission-Critical Mindshare - SaaS Closed Lost,Closed Lost,72070,2025-01-19,Other,Lost SaaS opportunity due to budget/timing/competition.,14,205,SaaS New Logo,Partner-led,None,Subscription,62636.76,3,Low,Metadata Scale
Facilitate Customized Markets - SaaS Closed Lost,Closed Lost,44311,2026-01-16,Purchased List,Lost SaaS opportunity due to budget/timing/competition.,2,206,SaaS New Logo,Inbound,None,Subscription,33745.90,2,Low,Data Volume
Enhance Visionary Supply-Chains - SaaS Closed Lost,Closed Lost,27431,2024-12-03,Purchased List,Lost SaaS opportunity due to budget/timing/competition.,15,207,SaaS New Logo,Partner-led,None,Subscription,23416.83,1,Low,Hybrid Usage
Transition Plug-And-Play Infrastructures - SaaS Closed Lost,Closed Lost,268060,2024-10-12,Web,Lost SaaS opportunity due to budget/timing/competition.,1,208,SaaS New Logo,Partner-led,None,Subscription,238739.74,1,High,Hybrid Usage
Drive Collaborative Platforms - SaaS Closed Lost,Closed Lost,68775,2025-07-04,Purchased List,Lost SaaS opportunity due to budget/timing/competition.,32,209,SaaS New Logo,Outbound,None,Subscription,48470.55,2,Low,Data Volume
Embrace Cross-Media Methodologies - SaaS Closed Lost,Closed Lost,272313,2025-01-04,Other,Lost SaaS opportunity due to budget/timing/competition.,24,210,SaaS New Logo,Partner-led,None,Subscription,286839.94,1,High,Pipeline Count
Transition Vertical Interfaces - US SaaS Pipeline,Qualification,89632,2026-03-30,Web,US SaaS logo acquisition (small share of total base).,96,211,Hybrid Expansion,Expansion,Hybrid,Retainer,71716.51,7,Low,Data Volume
Seize B2C Systems - US SaaS Pipeline,Qualification,61309,2026-06-30,Web,US SaaS logo acquisition (small share of total base).,95,212,Hybrid Expansion,Expansion,Hybrid,Subscription,45238.84,3,Low,Data Volume
Generate Magnetic Technologies - US SaaS Pipeline,Prospecting,81630,2026-03-30,Partner Referral,US SaaS logo acquisition (small share of total base).,96,213,Hybrid Expansion,Expansion,Hybrid,Subscription,74085.85,3,Low,Data Volume
Architect Compelling Relationships - US SaaS Pipeline,Qualification,21858,2026-05-29,Web,US SaaS logo acquisition (small share of total base).,97,214,Hybrid Expansion,Expansion,Hybrid,Retainer,17426.11,7,Low,Pipeline Count
Unleash Scalable Communities - US SaaS Pipeline,Prospecting,125528,2026-07-07,Web,US SaaS logo acquisition (small share of total base).,91,215,Hybrid Expansion,Expansion,Hybrid,Retainer,108735.97,3,Medium,Hybrid Usage
Syndicate Interactive Vortals - US SaaS Pipeline,Prospecting,45226,2026-08-15,Web,US SaaS logo acquisition (small share of total base).,96,216,Hybrid Expansion,Expansion,Hybrid,Retainer,35391.00,3,Low,Hybrid Usage
Facilitate Transparent Bandwidth - US SaaS Pipeline,Qualification,57335,2026-04-02,Purchased List,US SaaS logo acquisition (small share of total base).,98,217,Hybrid Expansion,Expansion,Hybrid,Retainer,56899.85,3,Low,Metadata Scale
Whiteboard E-Business Paradigms - US SaaS Pipeline,Prospecting,186949,2026-07-16,Partner Referral,US SaaS logo acquisition (small share of total base).,94,218,Hybrid Expansion,Expansion,Hybrid,Subscription,133525.72,7,Medium,Pipeline Count
Mesh Virtual E-Business - US SaaS Pipeline,Prospecting,106600,2026-08-20,Partner Referral,US SaaS logo acquisition (small share of total base).,91,219,Hybrid Expansion,Expansion,Hybrid,Subscription,91773.51,5,Medium,Hybrid Usage
Disintermediate 24/365 Users - US SaaS Pipeline,Prospecting,166984,2026-08-13,Purchased List,US SaaS logo acquisition (small share of total base).,94,220,Hybrid Expansion,Expansion,Hybrid,Subscription,155652.94,7,Medium,Data Volume
Redefine Customized Vortals - US SaaS Pipeline,Prospecting,116499,2026-05-06,Web,US SaaS logo acquisition (small share of total base).,97,221,Hybrid Expansion,Expansion,Hybrid,Subscription,94317.04,7,Medium,Metadata Scale
Whiteboard Dot-Com Experiences - US SaaS Pipeline,Prospecting,45004,2026-06-17,Web,US SaaS logo acquisition (small share of total base).,91,222,Hybrid Expansion,Expansion,Hybrid,Retainer,26896.49,2,Low,Hybrid Usage
Aggregate Mission-Critical Technologies - US SaaS Pipeline,Prospecting,22068,2026-08-15,Purchased List,US SaaS logo acquisition (small share of total base).,93,223,Hybrid Expansion,Expansion,Hybrid,Retainer,16593.50,6,Low,Hybrid Usage
Deploy Enterprise E-Markets - US SaaS Pipeline,Prospecting,144292,2026-08-18,Web,US SaaS logo acquisition (small share of total base).,99,224,Hybrid Expansion,Expansion,Hybrid,Retainer,97346.39,3,Medium,Data Volume
Aggregate Viral Bandwidth - US SaaS Pipeline,Prospecting,43093,2026-07-09,Partner Referral,US SaaS logo acquisition (small share of total base).,91,225,Hybrid Expansion,Expansion,Hybrid,Subscription,30973.56,5,Low,Metadata Scale
Transition Interactive Deliverables - US SaaS Pipeline,Qualification,153016,2026-04-25,Purchased List,US SaaS logo acquisition (small share of total base).,96,226,Hybrid Expansion,Expansion,Hybrid,Retainer,123477.84,4,Medium,Data Volume
Reinvent Out-Of-The-Box Platforms - US SaaS Pipeline,Qualification,24376,2026-05-31,Purchased List,US SaaS logo acquisition (small share of total base).,99,227,Hybrid Expansion,Expansion,Hybrid,Retainer,17248.42,7,Low,Pipeline Count
Strategize Customized Content - US SaaS Pipeline,Qualification,65107,2026-07-19,Web,US SaaS logo acquisition (small share of total base).,97,228,Hybrid Expansion,Expansion,Hybrid,Subscription,46830.36,2,Low,Data Volume
Revolutionize Rich Supply-Chains - US SaaS Pipeline,Prospecting,133673,2026-08-27,Partner Referral,US SaaS logo acquisition (small share of total base).,91,229,Hybrid Expansion,Expansion,Hybrid,Subscription,124016.79,3,Medium,Data Volume
Facilitate Viral Communities - US SaaS Pipeline,Qualification,31796,2026-08-03,Purchased List,US SaaS logo acquisition (small share of total base).,92,230,Hybrid Expansion,Expansion,Hybrid,Subscription,17712.87,5,Low,Hybrid Usage
Optimize Cross-Media Content - US SaaS Pipeline,Prospecting,121217,2026-08-05,Web,US SaaS logo acquisition (small share of total base).,91,231,Hybrid Expansion,Expansion,Hybrid,Subscription,95336.93,2,Medium,Data Volume
Synthesize Transparent Synergies - US SaaS Pipeline,Prospecting,13247,2026-06-28,Partner Referral,US SaaS logo acquisition (small share of total base).,91,232,Hybrid Expansion,Expansion,Hybrid,Subscription,8905.80,4,Low,Pipeline Count
Re-Contextualize Enterprise Vortals - US SaaS Pipeline,Prospecting,24130,2026-04-10,Purchased List,US SaaS logo acquisition (small share of total base).,92,233,Hybrid Expansion,Expansion,Hybrid,Retainer,13619.56,5,Low,Hybrid Usage
Disintermediate Global Applications - US SaaS Pipeline,Qualification,86548,2026-06-12,Web,US SaaS logo acquisition (small share of total base).,98,234,Hybrid Expansion,Expansion,Hybrid,Retainer,49809.12,7,Low,Pipeline Count
Enable Robust Schemas - US SaaS Mid Funnel,Value Proposition,90411,2026-05-05,Phone Inquiry,Mid-funnel US SaaS opportunities.,100,235,Hybrid Expansion,Expansion,Hybrid,Subscription,89980.56,6,Medium,Pipeline Count
Redefine Strategic Supply-Chains - US SaaS Mid Funnel,Needs Analysis,104568,2026-04-24,Partner Referral,Mid-funnel US SaaS opportunities.,98,236,Hybrid Expansion,Expansion,Hybrid,Subscription,94712.97,5,Medium,Data Volume
Re-Intermediate B2C Schemas - US SaaS Mid Funnel,Value Proposition,158156,2026-04-21,Partner Referral,Mid-funnel US SaaS opportunities.,96,237,Hybrid Expansion,Expansion,Hybrid,Retainer,153211.82,6,Medium,Pipeline Count
Visualize Collaborative Experiences - US SaaS Mid Funnel,Needs Analysis,144384,2026-05-19,Phone Inquiry,Mid-funnel US SaaS opportunities.,94,238,Hybrid Expansion,Expansion,Hybrid,Retainer,107666.44,3,Medium,Pipeline Count
Productize World-Class Initiatives - US SaaS Mid Funnel,Needs Analysis,118741,2026-06-01,Phone Inquiry,Mid-funnel US SaaS opportunities.,97,239,Hybrid Expansion,Expansion,Hybrid,Retainer,100663.49,7,Medium,Data Volume
Disintermediate Killer Web Services - US SaaS Mid Funnel,Needs Analysis,135176,2026-05-23,Phone Inquiry,Mid-funnel US SaaS opportunities.,100,240,Hybrid Expansion,Expansion,Hybrid,Retainer,123311.09,3,Medium,Metadata Scale
Scale Revolutionary Convergence - US SaaS Mid Funnel,Needs Analysis,96799,2026-04-02,Partner Referral,Mid-funnel US SaaS opportunities.,92,241,Hybrid Expansion,Expansion,Hybrid,Retainer,60675.28,6,Medium,Hybrid Usage
Envisioneer Dot-Com Portals - US SaaS Mid Funnel,Value Proposition,176224,2026-07-02,Phone Inquiry,Mid-funnel US SaaS opportunities.,98,242,Hybrid Expansion,Expansion,Hybrid,Retainer,121269.88,4,Medium,Pipeline Count
Orchestrate One-To-One Channels - US SaaS Mid Funnel,Needs Analysis,33205,2026-03-27,Phone Inquiry,Mid-funnel US SaaS opportunities.,95,243,Hybrid Expansion,Expansion,Hybrid,Subscription,26385.65,2,Low,Metadata Scale
Drive Cross-Media Functionalities - US SaaS Mid Funnel,Value Proposition,72151,2026-05-05,Partner Referral,Mid-funnel US SaaS opportunities.,100,244,Hybrid Expansion,Expansion,Hybrid,Retainer,64936.26,4,Low,Pipeline Count
Orchestrate Global Applications - US SaaS Mid Funnel,Needs Analysis,109050,2026-06-06,Phone Inquiry,Mid-funnel US SaaS opportunities.,97,245,Hybrid Expansion,Expansion,Hybrid,Retainer,84458.54,3,Medium,Metadata Scale
Syndicate Dot-Com E-Markets - US SaaS Mid Funnel,Value Proposition,105065,2026-05-26,Phone Inquiry,Mid-funnel US SaaS opportunities.,99,246,Hybrid Expansion,Expansion,Hybrid,Subscription,74226.27,2,Medium,Pipeline Count
Enable Interactive Functionalities - US SaaS Mid Funnel,Needs Analysis,126900,2026-04-20,Phone Inquiry,Mid-funnel US SaaS opportunities.,99,247,Hybrid Expansion,Expansion,Hybrid,Retainer,100245.35,2,Medium,Hybrid Usage
